"long","lat","group","order","region","subregion"
116.0815,41.781,1,1,"承德",NA
116.1035,41.7865,1,2,"承德",NA
116.1255,41.8085,1,3,"承德",NA
116.1035,41.8359,1,4,"承德",NA
116.1255,41.8689,1,5,"承德",NA
116.1584,41.8634,1,6,"承德",NA
116.1694,41.8744,1,7,"承德",NA
116.1914,41.8634,1,8,"承德",NA
116.2134,41.8799,1,9,"承德",NA
116.2134,41.8909,1,10,"承德",NA
116.2244,41.9183,1,11,"承德",NA
116.2354,41.9238,1,12,"承德",NA
116.2244,41.9293,1,13,"承德",NA
116.2244,41.9348,1,14,"承德",NA
116.3013,41.9733,1,15,"承德",NA
116.3123,41.9952,1,16,"承德",NA
116.3342,42.0062,1,17,"承德",NA
116.3672,42.0117,1,18,"承德",NA
116.4111,41.9952,1,19,"承德",NA
116.4111,41.9678,1,20,"承德",NA
116.3892,41.9458,1,21,"承德",NA
116.4331,41.9403,1,22,"承德",NA
116.4661,41.9568,1,23,"承德",NA
116.499,41.9843,1,24,"承德",NA
116.532,41.9568,1,25,"承德",NA
116.543,41.9348,1,26,"承德",NA
116.5869,41.9238,1,27,"承德",NA
116.5979,41.9348,1,28,"承德",NA
116.6418,41.9293,1,29,"承德",NA
116.6638,41.9458,1,30,"承德",NA
116.7188,41.9403,1,31,"承德",NA
116.7188,41.9623,1,32,"承德",NA
116.7297,41.9733,1,33,"承德",NA
116.7407,41.9897,1,34,"承德",NA
116.7737,41.9952,1,35,"承德",NA
116.7737,41.9843,1,36,"承德",NA
116.7957,41.9733,1,37,"承德",NA
116.8506,42.0062,1,38,"承德",NA
116.8726,42.0007,1,39,"承德",NA
116.8835,42.0227,1,40,"承德",NA
116.8726,42.0282,1,41,"承德",NA
116.8835,42.0557,1,42,"承德",NA
116.8835,42.0667,1,43,"承德",NA
116.8945,42.0831,1,44,"承德",NA
116.8945,42.1051,1,45,"承德",NA
116.8286,42.1655,1,46,"承德",NA
116.8066,42.1765,1,47,"承德",NA
116.7957,42.1875,1,48,"承德",NA
116.8176,42.204,1,49,"承德",NA
116.9055,42.1875,1,50,"承德",NA
116.9165,42.1985,1,51,"承德",NA
116.9165,42.2534,1,52,"承德",NA
116.9055,42.2699,1,53,"承德",NA
116.9055,42.2919,1,54,"承德",NA
116.8945,42.3083,1,55,"承德",NA
116.9055,42.3523,1,56,"承德",NA
116.9055,42.3688,1,57,"承德",NA
116.9055,42.3853,1,58,"承德",NA
116.9165,42.4017,1,59,"承德",NA
116.9714,42.4292,1,60,"承德",NA
117.0044,42.4292,1,61,"承德",NA
117.0154,42.4567,1,62,"承德",NA
117.0813,42.4622,1,63,"承德",NA
117.0923,42.4841,1,64,"承德",NA
117.1362,42.4677,1,65,"承德",NA
117.2021,42.4677,1,66,"承德",NA
117.2791,42.4841,1,67,"承德",NA
117.334,42.4622,1,68,"承德",NA
117.3889,42.4622,1,69,"承德",NA
117.4109,42.4731,1,70,"承德",NA
117.3999,42.5116,1,71,"承德",NA
117.3999,42.5226,1,72,"承德",NA
117.4219,42.5226,1,73,"承德",NA
117.4329,42.5116,1,74,"承德",NA
117.4658,42.5171,1,75,"承德",NA
117.4768,42.5336,1,76,"承德",NA
117.4768,42.583,1,77,"承德",NA
117.4878,42.594,1,78,"承德",NA
117.5317,42.5885,1,79,"承德",NA
117.5427,42.5995,1,80,"承德",NA
117.5537,42.605,1,81,"承德",NA
117.5757,42.583,1,82,"承德",NA
117.6306,42.5665,1,83,"承德",NA
117.8064,42.616,1,84,"承德",NA
117.8064,42.5995,1,85,"承德",NA
117.7954,42.594,1,86,"承德",NA
117.8064,42.5775,1,87,"承德",NA
117.8394,42.561,1,88,"承德",NA
117.8613,42.5391,1,89,"承德",NA
117.8723,42.4951,1,90,"承德",NA
117.9272,42.4731,1,91,"承德",NA
117.9602,42.4292,1,92,"承德",NA
117.9712,42.4292,1,93,"承德",NA
118.0042,42.4127,1,94,"承德",NA
118.0261,42.3853,1,95,"承德",NA
118.0151,42.3468,1,96,"承德",NA
118.0261,42.3193,1,97,"承德",NA
118.0591,42.3083,1,98,"承德",NA
118.0591,42.2864,1,99,"承德",NA
117.9712,42.2424,1,100,"承德",NA
118.0261,42.2095,1,101,"承德",NA
118.0481,42.193,1,102,"承德",NA
118.103,42.182,1,103,"承德",NA
118.114,42.171,1,104,"承德",NA
118.103,42.149,1,105,"承德",NA
118.092,42.1106,1,106,"承德",NA
118.158,42.0831,1,107,"承德",NA
118.158,42.0612,1,108,"承德",NA
118.136,42.0667,1,109,"承德",NA
118.147,42.0557,1,110,"承德",NA
118.114,42.0447,1,111,"承德",NA
118.125,42.0392,1,112,"承德",NA
118.158,42.0282,1,113,"承德",NA
118.2019,42.0337,1,114,"承德",NA
118.2239,42.0557,1,115,"承德",NA
118.2239,42.0831,1,116,"承德",NA
118.2458,42.0941,1,117,"承德",NA
118.2678,42.0886,1,118,"承德",NA
118.3008,42.0557,1,119,"承德",NA
118.2788,42.0282,1,120,"承德",NA
118.2678,42.0282,1,121,"承德",NA
118.2349,42.0172,1,122,"承德",NA
118.2898,42.0062,1,123,"承德",NA
118.3008,41.9897,1,124,"承德",NA
118.3118,41.9897,1,125,"承德",NA
118.3008,41.9403,1,126,"承德",NA
118.2678,41.9293,1,127,"承德",NA
118.2678,41.9183,1,128,"承德",NA
118.3337,41.8744,1,129,"承德",NA
118.3337,41.8579,1,130,"承德",NA
118.3447,41.8469,1,131,"承德",NA
118.3228,41.8359,1,132,"承德",NA
118.3118,41.781,1,133,"承德",NA
118.2788,41.7645,1,134,"承德",NA
118.2678,41.7645,1,135,"承德",NA
118.2568,41.77,1,136,"承德",NA
118.2458,41.781,1,137,"承德",NA
118.2458,41.7975,1,138,"承德",NA
118.2239,41.814,1,139,"承德",NA
118.2019,41.8085,1,140,"承德",NA
118.1909,41.814,1,141,"承德",NA
118.1689,41.8085,1,142,"承德",NA
118.147,41.7975,1,143,"承德",NA
118.158,41.7865,1,144,"承德",NA
118.136,41.7645,1,145,"承德",NA
118.147,41.759,1,146,"承德",NA
118.136,41.7316,1,147,"承德",NA
118.158,41.7206,1,148,"承德",NA
118.1689,41.6821,1,149,"承德",NA
118.2239,41.6382,1,150,"承德",NA
118.2129,41.6162,1,151,"承德",NA
118.2349,41.5833,1,152,"承德",NA
118.2898,41.5723,1,153,"承德",NA
118.2898,41.5613,1,154,"承德",NA
118.3228,41.5668,1,155,"承德",NA
118.3118,41.5393,1,156,"承德",NA
118.3228,41.5173,1,157,"承德",NA
118.3228,41.5063,1,158,"承德",NA
118.3118,41.5009,1,159,"承德",NA
118.3118,41.4844,1,160,"承德",NA
118.2788,41.4789,1,161,"承德",NA
118.2678,41.4679,1,162,"承德",NA
118.3447,41.4514,1,163,"承德",NA
118.3557,41.424,1,164,"承德",NA
118.3557,41.391,1,165,"承德",NA
118.3667,41.3855,1,166,"承德",NA
118.3557,41.3745,1,167,"承德",NA
118.3557,41.3525,1,168,"承德",NA
118.3667,41.347,1,169,"承德",NA
118.3557,41.3361,1,170,"承德",NA
118.3777,41.3141,1,171,"承德",NA
118.3997,41.3086,1,172,"承德",NA
118.4106,41.3196,1,173,"承德",NA
118.4216,41.3361,1,174,"承德",NA
118.4875,41.347,1,175,"承德",NA
118.5095,41.3416,1,176,"承德",NA
118.5315,41.358,1,177,"承德",NA
118.5425,41.3525,1,178,"承德",NA
118.5864,41.3525,1,179,"承德",NA
118.6084,41.347,1,180,"承德",NA
118.6523,41.347,1,181,"承德",NA
118.6743,41.358,1,182,"承德",NA
118.6963,41.3306,1,183,"承德",NA
118.7073,41.3361,1,184,"承德",NA
118.7183,41.3306,1,185,"承德",NA
118.7512,41.3251,1,186,"承德",NA
118.7842,41.358,1,187,"承德",NA
118.8281,41.369,1,188,"承德",NA
118.8501,41.3855,1,189,"承德",NA
118.8501,41.369,1,190,"承德",NA
118.8391,41.3635,1,191,"承德",NA
118.8501,41.3525,1,192,"承德",NA
118.8501,41.347,1,193,"承德",NA
118.8721,41.3031,1,194,"承德",NA
118.927,41.3031,1,195,"承德",NA
118.949,41.3141,1,196,"承德",NA
118.9709,41.3086,1,197,"承德",NA
119.0149,41.3086,1,198,"承德",NA
119.0369,41.2976,1,199,"承德",NA
119.1467,41.2976,1,200,"承德",NA
119.2017,41.2866,1,201,"承德",NA
119.2126,41.2921,1,202,"承德",NA
119.2126,41.3086,1,203,"承德",NA
119.2456,41.3086,1,204,"承德",NA
119.2566,41.2811,1,205,"承德",NA
119.2456,41.2701,1,206,"承德",NA
119.2126,41.2537,1,207,"承德",NA
119.2126,41.2262,1,208,"承德",NA
119.1797,41.2262,1,209,"承德",NA
119.1687,41.2152,1,210,"承德",NA
119.1907,41.2042,1,211,"承德",NA
119.1907,41.1932,1,212,"承德",NA
119.1248,41.1383,1,213,"承德",NA
119.0808,41.1328,1,214,"承德",NA
119.0808,41.0944,1,215,"承德",NA
119.0698,41.0724,1,216,"承德",NA
119.0479,41.0779,1,217,"承德",NA
119.0369,41.0614,1,218,"承德",NA
118.96,41.0779,1,219,"承德",NA
118.938,41.0559,1,220,"承德",NA
118.938,41.0339,1,221,"承德",NA
118.949,41.0175,1,222,"承德",NA
119.0259,41.0065,1,223,"承德",NA
119.0259,40.99,1,224,"承德",NA
119.0039,40.968,1,225,"承德",NA
118.9709,40.957,1,226,"承德",NA
118.938,40.957,1,227,"承德",NA
118.916,40.968,1,228,"承德",NA
118.905,40.9625,1,229,"承德",NA
