"province","city","city_code","station","station_code","lon","lat"
"上海","上海",310000,"普陀","1141A",121.4,31.238
"上海","上海",310000,"十五厂","1142A",121.478,31.2036
"上海","上海",310000,"虹口","1143A",121.467,31.3008
"上海","上海",310000,"徐汇上师大","1144A",121.412,31.1654
"上海","上海",310000,"杨浦四漂","1145A",121.536,31.2659
"上海","上海",310000,"青浦淀山湖","1146A",120.978,31.0935
"上海","上海",310000,"静安监测站","1147A",121.425,31.2261
"上海","上海",310000,"浦东川沙","1148A",121.703,31.1907
"上海","上海",310000,"浦东新区监测站","1149A",121.533,31.2284
"上海","上海",310000,"浦东张江","1150A",121.577,31.2071
"云南","昆明",530100,"关上","1449A",102.743,25.0124
"云南","昆明",530100,"呈贡新区","1450A",102.821,24.8885
"云南","昆明",530100,"西山森林公园","1451A",102.625,24.9624
"云南","昆明",530100,"龙泉镇","1452A",102.728,25.0836
"云南","昆明",530100,"东风东路","1453A",102.722,25.0405
"云南","昆明",530100,"金鼎山","1454A",102.681,25.067
"云南","昆明",530100,"碧鸡广场","1455A",102.638,25.0359
"云南","曲靖",530300,"环境监测站","1916A",103.7897,25.5035
"云南","曲靖",530300,"烟厂办公区","1917A",103.8,25.5364
"云南","玉溪",530400,"东风水库","1715A",102.5778,24.3694
"云南","玉溪",530400,"市监测站","1716A",102.5433,24.3603
"云南","玉溪",530400,"大营街镇","1717A",102.4964,24.3411
"云南","保山",530500,"市环境监测站","2594A",99.1678,25.1081
"云南","保山",530500,"市环保局","2595A",99.1711,25.1328
"云南","昭通",530600,"监测站","2596A",103.7032,27.3392
"云南","昭通",530600,"环保局","2597A",103.7225,27.3361
"云南","丽江",530700,"西南郊","2598A",100.2143,26.8576
"云南","丽江",530700,"丽江古城","2599A",100.2497,26.8802
"云南","丽江",530700,"市中心","2600A",100.2203,26.8906
"云南","普洱",530800,"市环保局","2601A",100.98,22.7633
"云南","普洱",530800,"普洱第二中学","2602A",100.9817,22.8322
"云南","临沧",530900,"市环保局","2603A",100.0869,23.8822
"云南","临沧",530900,"市气象局","2604A",100.0782,23.8982
"云南","楚雄州",532301,"州环境监测站","2605A",101.5482,25.0441
"云南","楚雄州",532301,"市经济开发区","2606A",101.538,25.0492
"云南","红河州",532522,"雨过铺","2607A",103.3113,23.4626
"云南","红河州",532522,"污水处理厂","2608A",103.3772,23.3993
"云南","红河州",532522,"监测站","2609A",103.386,23.4168
"云南","文山州",532621,"州水务局","2610A",104.2533,23.3594
"云南","文山州",532621,"市便民服务中心","2611A",104.2319,23.3892
"云南","西双版纳州",532801,"景洪市江南","2612A",100.7939,22.0019
"云南","西双版纳州",532801,"景洪市江北","2613A",100.8017,22.0225
"云南","大理州",532901,"大理市环境监测站","2614A",100.1542,25.7054
"云南","大理州",532901,"大理古城","2615A",100.2171,25.5811
"云南","德宏州",533103,"德宏州监测站","2616A",98.5842,24.428
"云南","德宏州",533103,"芒市建设局","2617A",98.578,24.441
"云南","怒江州",533321,"州监测站","2618A",98.8601,25.8567
"云南","怒江州",533321,"泸水一中","2619A",98.8546,25.8417
"云南","迪庆州",533421,"古城","2620A",99.7064,27.8136
"云南","迪庆州",533421,"迪庆州站","2621A",99.7056,27.8317
"内蒙古","呼和浩特",150100,"呼市一监","1090A",111.651,40.7579
"内蒙古","呼和浩特",150100,"小召","1091A",111.658,40.8033
"内蒙古","呼和浩特",150100,"兴松小区","1092A",111.659,40.8452
"内蒙古","呼和浩特",150100,"糖厂","1093A",111.608,40.8144
"内蒙古","呼和浩特",150100,"如意水处理厂","1094A",111.751,40.8369
"内蒙古","呼和浩特",150100,"二十九中","1095A",111.7277,40.8062
"内蒙古","呼和浩特",150100,"工大金川校区","1096A",111.551,40.7866
"内蒙古","呼和浩特",150100,"化肥厂生活区","1097A",111.717,40.7612
"内蒙古","包头",150200,"市环境监测站","1585A",109.8756,40.6532
"内蒙古","包头",150200,"包百大楼","1586A",109.8104,40.6575
"内蒙古","包头",150200,"东河城环局","1587A",110.0067,40.5905
"内蒙古","包头",150200,"青山宾馆","1588A",109.8538,40.6821
"内蒙古","包头",150200,"惠龙物流","1589A",109.8654,40.6288
"内蒙古","包头",150200,"东河鸿龙湾","1590A",110.0377,40.5546
"内蒙古","乌海",150300,"聚英学校","2186A",106.8219,39.6719
"内蒙古","乌海",150300,"市林业局","2187A",106.8089,39.6969
"内蒙古","乌海",150300,"中海勃湾学校","2188A",106.7931,39.6572
"内蒙古","赤峰",150400,"松山一中","1744A",118.9233,42.2814
"内蒙古","赤峰",150400,"哈达街","1745A",118.9572,42.2725
"内蒙古","赤峰",150400,"天义路","1746A",118.8789,42.2556
"内蒙古","赤峰",150400,"松山路","1747A",119.2719,42.0317
"内蒙古","通辽",150500,"通辽宾馆","2189A",122.2603,43.6267
"内蒙古","通辽",150500,"胶建铝业","2190A",122.3039,43.6156
"内蒙古","通辽",150500,"艺术职业学校","2191A",122.2532,43.6801
"内蒙古","鄂尔多斯",150600,"综合楼","1591A",110.0023,39.8129
"内蒙古","鄂尔多斯",150600,"巴音孟克林场办事处","1592A",109.9486,39.8261
"内蒙古","鄂尔多斯",150600,"康泽苑","1593A",109.7736,39.5986
"内蒙古","鄂尔多斯",150600,"华泰汽车城","1594A",109.8119,39.5989
"内蒙古","鄂尔多斯",150600,"奥林花园","1595A",109.9734,39.7884
"内蒙古","呼伦贝尔",150700,"区环保局","2192A",119.7594,49.2261
"内蒙古","呼伦贝尔",150700,"市艺校","2193A",119.7283,49.2014
"内蒙古","巴彦淖尔",150800,"秋林养殖基地","2194A",107.5936,40.916
"内蒙古","巴彦淖尔",150800,"附中","2195A",107.4211,40.7608
"内蒙古","巴彦淖尔",150800,"市环保大楼","2196A",107.3715,40.7378
"内蒙古","乌兰察布",150900,"集宁新区","2197A",113.1306,40.9923
"内蒙古","乌兰察布",150900,"集宁旧区西","2198A",113.0974,41.038
"内蒙古","兴安盟",152200,"盟监测站","2199A",122.062,46.0872
"内蒙古","兴安盟",152200,"胜华新制药厂","2200A",122.0506,46.0703
"内蒙古","兴安盟",152200,"科右前旗环保局","2201A",121.9462,46.0756
"内蒙古","锡林郭勒盟",152500,"市环保监测站","2202A",116.1042,43.9317
"内蒙古","锡林郭勒盟",152500,"市政府","2203A",116.0781,43.9311
"内蒙古","阿拉善盟",152900,"体育场","2204A",105.6775,38.8343
"内蒙古","阿拉善盟",152900,"盟环保楼","2205A",105.6975,38.843
"内蒙古","阿拉善盟",152900,"环保局新楼","2206A",105.724,38.8516
"北京","北京",110000,"万寿西宫","1001A",116.366,39.8673
"北京","北京",110000,"定陵","1002A",116.17,40.2865
"北京","北京",110000,"东四","1003A",116.434,39.9522
"北京","北京",110000,"天坛","1004A",116.434,39.8745
"北京","北京",110000,"农展馆","1005A",116.473,39.9716
"北京","北京",110000,"官园","1006A",116.361,39.9425
"北京","北京",110000,"海淀区万柳","1007A",116.315,39.9934
"北京","北京",110000,"顺义新城","1008A",116.72,40.1438
"北京","北京",110000,"怀柔镇","1009A",116.644,40.3937
"北京","北京",110000,"昌平镇","1010A",116.23,40.1952
"北京","北京",110000,"奥体中心","1011A",116.407,40.0031
"北京","北京",110000,"古城","1012A",116.225,39.9279
"吉林","长春",220100,"食品厂","1119A",125.323,43.9167
"吉林","长春",220100,"客车厂","1120A",125.287,43.91
"吉林","长春",220100,"邮电学院","1121A",125.2786,43.84
"吉林","长春",220100,"劳动公园","1122A",125.3649,43.8748
"吉林","长春",220100,"园林处","1123A",125.325,43.8694
"吉林","长春",220100,"净月潭","1124A",125.454,43.7878
"吉林","长春",220100,"甩湾子","1125A",125.633,43.55
"吉林","长春",220100,"经开区环卫处","1126A",125.417,43.8667
