"long","lat","group","order","region","subregion"
96.416,42.7588,1,1,"新疆维吾尔自治区",NA
96.416,42.7148,1,2,"新疆维吾尔自治区",NA
95.9766,42.4951,1,3,"新疆维吾尔自治区",NA
96.0645,42.3193,1,4,"新疆维吾尔自治区",NA
96.2402,42.2314,1,5,"新疆维吾尔自治区",NA
95.9766,41.9238,1,6,"新疆维吾尔自治区",NA
95.2734,41.6162,1,7,"新疆维吾尔自治区",NA
95.1855,41.792,1,8,"新疆维吾尔自治区",NA
94.5703,41.4844,1,9,"新疆维吾尔自治区",NA
94.043,41.0889,1,10,"新疆维吾尔自治区",NA
93.8672,40.6934,1,11,"新疆维吾尔自治区",NA
93.0762,40.6494,1,12,"新疆维吾尔自治区",NA
92.6367,39.6387,1,13,"新疆维吾尔自治区",NA
92.373,39.3311,1,14,"新疆维吾尔自治区",NA
92.373,39.1113,1,15,"新疆维吾尔自治区",NA
92.373,39.0234,1,16,"新疆维吾尔自治区",NA
90.1758,38.4961,1,17,"新疆维吾尔自治区",NA
90.3516,38.2324,1,18,"新疆维吾尔自治区",NA
90.6152,38.3203,1,19,"新疆维吾尔自治区",NA
90.5273,37.8369,1,20,"新疆维吾尔自治区",NA
91.0547,37.4414,1,21,"新疆维吾尔自治区",NA
91.3184,37.0898,1,22,"新疆维吾尔自治区",NA
90.7031,36.7822,1,23,"新疆维吾尔自治区",NA
90.791,36.6064,1,24,"新疆维吾尔自治区",NA
91.0547,36.5186,1,25,"新疆维吾尔自治区",NA
91.0547,36.0791,1,26,"新疆维吾尔自治区",NA
90.8789,36.0352,1,27,"新疆维吾尔自治区",NA
90,36.2549,1,28,"新疆维吾尔自治区",NA
89.9121,36.0791,1,29,"新疆维吾尔自治区",NA
89.7363,36.0791,1,30,"新疆维吾尔自治区",NA
89.209,36.2988,1,31,"新疆维吾尔自治区",NA
88.7695,36.3428,1,32,"新疆维吾尔自治区",NA
88.5938,36.4746,1,33,"新疆维吾尔自治区",NA
87.3633,36.4307,1,34,"新疆维吾尔自治区",NA
86.2207,36.167,1,35,"新疆维吾尔自治区",NA
86.1328,35.8594,1,36,"新疆维吾尔自治区",NA
85.6055,35.6836,1,37,"新疆维吾尔自治区",NA
85.0781,35.7275,1,38,"新疆维吾尔自治区",NA
84.1992,35.376,1,39,"新疆维吾尔自治区",NA
83.1445,35.4199,1,40,"新疆维吾尔自治区",NA
82.8809,35.6836,1,41,"新疆维吾尔自治区",NA
82.4414,35.7275,1,42,"新疆维吾尔自治区",NA
82.002,35.332,1,43,"新疆维吾尔自治区",NA
81.6504,35.2441,1,44,"新疆维吾尔自治区",NA
80.4199,35.4199,1,45,"新疆维吾尔自治区",NA
80.2441,35.2881,1,46,"新疆维吾尔自治区",NA
80.332,35.1563,1,47,"新疆维吾尔自治区",NA
80.2441,35.2002,1,48,"新疆维吾尔自治区",NA
79.8926,34.8047,1,49,"新疆维吾尔自治区",NA
